id, name, rating, position, height, foot, rare, pace, shooting, passing, dribbling, defending, heading
100806, Kris Commons,75, M,168, Left,0,79,74,73,80,48,60
100807, Stefanos Kotsolis,65, GK,190, Right,0, , , , , , 
100889, Louis Carey,67, D,178, Right,0,45,31,45,38,69,78
100899, Steve Phillips,61, GK,185, Right,1, , , , , , 
100907, Danny Coles,62, D,185, Right,0,70,32,33,35,66,67
100932, Sotirios Kyrgiakos,76, D,193, Right,1,41,42,46,38,80,80
100954, Monsef Zerka,63, M,183, Right,0,69,60,59,64,53,63
100964, Romain Poyet,72, A,184, Right,1,68,70,70,73,56,74
100987, David Hellebuyck,72, M,178, Left,1,60,79,74,73,62,69
101160, NicolÃ? Consolini,63, D,180, Right,0,71,47,60,57,63,58
101225, Neca,73, M,177, Right,1,64,70,72,74,57,63
101282, Oka Nikolov,70, GK,188, Right,0, , , , , , 
101286, Rolf-Christel GuiÃ©-Mien,64, M,177, Right,1,65,52,58,71,45,55
101317, Michael Ratajczak,65, GK,187, Right,0, , , , , , 
10133, Ivan KlasniÄ‡,75, A,186, Left,0,60,75,58,72,56,74
101336, Clemens Fritz,74, D,183, Right,1,79,62,73,73,72,71
101344, Otto Fredrikson,70, GK,189, Right,0, , , , , , 
101378, Cacau,78, A,179, Right,0,79,77,62,80,54,77
101411, Sascha Kirschstein,66, GK,196, Right,0, , , , , , 
101473, Tomasz Kuszczak,75, GK,190, Right,0, , , , , , 
101482, Timo Ochs,67, GK,189, Right,0, , , , , , 
101488, Daniel Haas,71, GK,188, Right,1, , , , , , 
101490, Conor Casey,70, A,188, Right,1,57,66,38,67,63,86
101496, Mathias Abel,69, D,188, Right,0,54,40,54,48,73,73
101590, Giuseppe Greco,65, A,182, Left,0,72,62,49,61,55,63
101652, Peter Schyrba,61, D,185, Right,0,65,45,52,53,67,65
101658, Carsten Rothenbach,68, D,184, Right,0,67,54,68,61,70,70
101689, AntÃ´nio da Silva,73, M,178, Left,1,48,70,78,75,58,53
101749, Jens Langeneke,69, D,185, Right,0,51,41,51,41,73,60
101803, Goran Å ukalo,67, M,193, Right,0,56,60,64,59,73,74
10183, David McCracken,60, D,188, Left,0,55,32,49,44,65,54
101868, Andreas GÃ¶rlitz,67, D,179, Right,0,68,58,66,68,67,64
101875, Markus Miller,71, GK,189, Right,0, , , , , , 
101880, Robert Green,78, GK,188, Right,0, , , , , , 
101882, Adam Drury,65, D,180, Left,0,53,35,60,65,69,65
101891, Darel Russell,63, M,178, Right,0,61,50,61,62,64,63
101934, Dexter Langen,61, M,186, Right,0,69,53,58,62,65,56
101997, David Lucas,61, GK,188, Left,0, , , , , , 
101999, Graham Alexander,64, M,180, Right,1,58,62,65,57,67,68
102001, Rob Edwards,65, D,185, Right,0,65,34,42,27,70,70
102021, Filip Trojan,68, M,172, Left,0,74,61,63,71,58,67
102056, Simone Padoin,73, M,179, Right,1,79,65,73,71,64,61
102064, Claudio Terzi,68, D,180, Right,0,60,46,50,47,68,69
102081, Marco Pisano,63, D,174, Left,0,65,47,58,53,64,65
102084, Luca Belingheri,67, M,183, Right,0,73,60,66,66,62,61
102088, Stefano Morrone,74, M,178, Right,0,61,61,71,71,72,60
102129, Petri Pasanen,73, D,187, Right,1,57,58,61,45,74,76
102133, Stefan Leitl,68, A,178, Right,0,70,68,64,69,57,57
102293, Ranisav JovanoviÄ‡,60, A,193, Left,1,69,59,48,56,54,59
102356, Markus Feulner,73, M,181, Right,1,68,67,74,72,67,69
102359, Zvjezdan MisimoviÄ‡,81, M,180, Right,1,62,78,82,80,51,59
102362, Ivica GrliÄ‡,64, M,187, Right,1,44,70,69,68,57,45
102409, Florian Heller,67, A,179, Right,0,68,63,69,73,66,69
102587, Matt Hill,61, D,173, Left,0,54,34,49,43,66,61
102593, Craig Woodman,62, D,175, Left,0,57,28,54,42,61,59
10264, Ruud van Nistelrooy,80, A,188, Right,0,55,78,64,73,59,70
103133, Seol Ki Hyeon,69, A,187, Right,1,81,67,64,74,58,69
103307, John Oster,67, M,175, Right,0,72,57,68,69,63,60
103496, Andrea Cossu,80, M,171, Right,1,80,69,81,84,50,47
103578, Marcin Malinowski,57, M,179, Right,0,53,57,43,45,63,58
103581, Alan Dunne,63, D,180, Right,0,69,52,61,58,66,58
103582, Mark Phillips,58, D,188, Right,0,56,33,40,43,63,69
103585, Ben May,56, A,185, Left,0,43,56,40,46,45,64
103591, Gerald Sibon,66, A,196, Right,1,28,70,65,54,59,57
103735, Nicolas Timmermans,59, D,183, Right,0,66,49,55,55,62,64
103933, JÃ?rgen SÃ?umel,70, M,184, Left,0,73,59,69,65,72,67
103935, Alberto Aquilani,81, M,186, Right,1,65,75,84,81,67,62
103936, Simone Pepe,78, M,178, Right,0,84,75,76,76,66,64
103996, Mahamet Diagouraga,65, D,188, Right,0,71,43,42,35,73,67
1040, Roberto Carlos,79, M,168, Left,1,78,75,80,76,80,70
104047, Sergio Bernardo AlmirÃ?n,75, M,176, Right,0,50,71,79,66,68,56
104088, Philipp BÃ¶nig,67, D,178, Left,0,68,48,64,57,68,68
1041, Javier Zanetti,82, M,178, Right,1,63,59,80,79,80,57
104100, Marius Ebbers,68, A,192, Right,0,59,65,53,62,61,74
104101, Benjamin KÃ¶hler,71, M,172, Left,0,76,65,67,74,53,75
104296, Liam Miller,66, M,170, Right,0,59,60,67,69,55,59
104389, Rune Almenning Jarstein,68, GK,190, Right,0, , , , , , 
104442, Chris Burke,73, M,175, Right,1,80,68,70,76,53,52
104472, Trond Erik Bertelsen,64, D,174, Left,1,75,57,62,60,66,65
104476, Christian Grindheim,73, M,179, Right,0,70,69,71,68,68,68
1046, JÃ©rÃ´me Rothen,72, M,177, Left,1,58,70,75,71,54,44
10468, Benjamin Kibebe,61, D,187, Right,0,57,43,47,46,68,72
104702, Daniel Braaten,73, M,184, Right,1,80,70,69,80,66,62
104732, David Prutton,64, M,185, Right,1,55,65,65,53,63,60
104733, Jack Lester,64, A,175, Right,0,56,62,36,58,50,71
104737, Barry Roche,62, GK,193, Right,0, , , , , , 
10475, FrÃ©dÃ©ric Page,57, D,185, Right,0,50,49,54,51,60,57
105113, Sven MÃ?ller,63, M,191, Right,0,72,60,62,56,67,63
105308, Jean Francois Gillet,77, GK,181, Left,0, , , , , , 
105314, Lionel Pizzinat,55, M,183, Right,0,49,55,52,58,55,54
105318, Jaime ValdÃ©s,76, M,176, Right,0,76,75,73,77,54,46
105327, Richarlyson,74, M,176, Left,0,77,69,68,75,71,65
105330, Gaetano D'Agostino,75, M,182, Left,0,67,71,79,70,68,57
105338, Moris Carrozzieri,72, D,192, Right,1,33,41,49,26,81,65
105342, Patrick Owomoyela,73, D,187, Right,1,63,55,72,71,75,83
10535, Xavi,92, M,170, Right,1,67,72,92,85,68,53
105430, GrÃ©tar Steinsson,75, D,189, Right,0,55,52,74,60,77,73
105454, Zoran ToÅ¡iÄ‡,77, M,171, Left,1,91,75,72,85,40,57
105466, Daniele Martinelli,63, D,181, Right,0,61,46,58,52,63,62
105471, FranÃ§ois-Joseph Modesto,70, M,183, Right,0,63,50,63,60,75,70
105474, Daniele Conti,76, M,178, Right,0,53,71,80,71,72,64
105477, David Suazo,76, A,182, Right,1,91,76,56,65,58,71
105530, Aleksandar VukoviÄ‡,65, M,186, Right,0,49,56,64,54,69,59
105533, ÅÅukasz ZaÅ‚uska,69, GK,191, Right,0, , , , , , 
105558, Alexander Iashvili,68, A,175, Left,0,75,66,64,75,42,54
105663, Dennis Kruppke,66, M,179, Right,0,71,67,60,63,59,70
105748, Lars Jungnickel,65, D,180, Right,0,74,50,57,51,66,71
105803, Gurpegi,75, M,181, Right,0,65,54,67,62,79,82
10584, Luciano Zauri,72, D,178, Right,0,54,58,70,67,74,66
105846, Artur Boruc,78, GK,193, Right,0, , , , , , 
105865, Tomasz KieÅ‚bowicz,64, D,179, Left,1,63,52,72,53,64,52
105866, Cesare Bovo,78, D,181, Right,0,65,61,64,54,78,77
105945, Karel Geraerts,67, M,186, Right,0,60,65,65,55,71,69
106019, Adriano,77, A,190, Left,0,62,80,52,71,59,67
106036, Dennis Eilhoff,69, GK,190, Right,0, , , , , , 
106112, Julien FranÃ§ois,66, M,192, Left,0,51,52,64,55,68,67
106134, Andrew Frampton,63, D,185, Left,1,50,43,66,50,67,68
106202, Marek Saganowski,63, A,178, Right,1,67,63,41,60,61,69
106213, Iraola,79, D,182, Right,0,82,69,78,75,79,63
106222, Arriaga,59, A,171, Right,0,69,58,50,63,40,51
106231, Aduriz,79, A,182, Right,1,72,75,62,75,60,91
106436, ÅÅukasz Surma,60, M,173, Right,0,59,46,58,56,63,62
106510, Dickson Choto,68, D,192, Right,1,54,32,54,45,77,56
106539, Gabri,68, M,175, Right,0,66,60,68,66,67,67
106560, GrÃ©gory Pujol,77, A,183, Right,0,62,76,70,74,63,81
106573, ValdÃ©s,85, GK,183, Right,1, , , , , , 
106582, Dani Tortolero,63, D,184, Right,0,52,48,53,49,66,63
106710, Giacomo Tedesco,67, M,176, Left,0,59,63,72,66,65,57
106795, Gianluca Pegolo,62, GK,183, Left,1, , , , , , 
106850, Mirko VuÄçiniÄ‡,81, A,186, Right,1,82,80,70,84,60,71
106868, Alberto Comazzi,61, D,178, Right,0,52,37,58,39,63,73
106874, Davide Brivio,70, D,185, Left,0,66,50,67,61,74,62
107078, Max von SchlebrÃ?gge,70, D,188, Left,0,54,56,50,43,70,67
107084, Michael Langer,65, GK,193, Right,0, , , , , , 
107103, Marc Ziegler,72, GK,193, Right,1, , , , , , 
107263, Fahid Ben Khalfallah,71, M,170, Right,0,76,62,69,74,49,50
107280, Benjamin Genton,66, D,188, Right,0,41,32,60,39,68,72
107298, Yohann PelÃ©,75, GK,196, Right,0, , , , , , 
107305, MickaÃ«l Tacalfred,64, D,175, Right,0,64,55,63,60,66,68
107320, Johan Audel,73, M,180, Left,1,76,67,68,76,55,61
107494, Andrea Campagnolo,71, GK,184, Right,1, , , , , , 
1075, Alessandro Del Piero,80, A,173, Right,1,56,79,82,84,50,43
107528, John Mensah,76, D,180, Right,0,61,43,56,29,78,77
107579, Federico Agliardi,66, GK,190, Right,0, , , , , , 
107634, RenÃ© Renno,60, GK,186, Right,0, , , , , , 
10764, Juanfran,71, D,182, Left,0,70,52,67,63,75,64
107647, Hamit Altintop,76, M,183, Right,0,74,78,77,74,73,67
107713, Tom Starke,76, GK,195, Right,0, , , , , , 
107715, LÃºcio,85, D,188, Right,1,76,61,61,66,85,83
107758, Markus Thorandt,68, D,187, Right,0,67,44,59,49,70,71
107794, Markus Bollmann,64, D,190, Right,0,54,30,44,41,68,73
107796, Markus KrÃ¶sche,65, M,180, Right,0,61,49,48,46,70,73
10780, CÃ©sar Navas,75, D,194, Right,1,67,42,57,43,77,74
107901, Collin Benjamin,68, M,182, Right,0,68,61,71,70,68,66
107904, Deniz Dogan,66, D,182, Left,0,66,52,41,39,69,72
108061, Reto Ziegler,78, D,183, Left,0,76,70,76,75,73,69
108075, Eduardo,69, A,178, Right,0,76,68,63,71,45,66
108080, Stephan Lichtsteiner,79, D,183, Right,0,79,58,74,71,79,73
10824, Patrick Mtiliga,69, D,171, Left,1,86,58,57,64,67,65
108583, Kris De Wree,64, D,185, Right,0,63,53,58,55,64,64
10862, Delron Buckley,65, M,177, Left,0,75,64,57,68,48,56
10863, Enzo Maresca,73, M,180, Right,1,53,75,80,72,63,49
108658, Marco Streller,74, A,195, Left,1,64,64,58,73,61,73
108734, Frankie Hejduk,62, D,173, Right,0,70,53,51,55,63,64
108750, David Degen,68, M,185, Right,1,82,60,63,69,59,56
108784, Wim De Decker,64, M,186, Right,0,43,52,56,50,68,69
1088, Alessandro Nesta,85, D,187, Right,1,54,36,58,57,83,78
10884, Michael Flynn,60, M,178, Right,0,57,58,55,56,67,65
10899, Chris Porter,65, A,185, Right,0,66,62,52,59,54,71
1092, Alan Murphy,56, A,174, Left,0,59,57,54,57,41,53
109321, Christian Weber,64, D,175, Right,0,70,51,60,61,65,66
109416, Alexandr Kerzhakov,82, A,176, Right,1,87,82,74,75,55,75
109493, Bram Castro,65, GK,191, Right,0, , , , , , 
10959, Pablo Aimar,83, M,170, Right,1,75,73,83,86,49,62
109693, Yakubu,73, A,183, Right,1,67,74,57,72,57,75
109724, Peter LÃ¸venkrands,71, A,180, Left,1,69,70,75,74,54,66
109809, Youssef El-Akchaoui,66, D,174, Left,0,65,66,68,64,66,65
109852, Gareth McAuley,69, D,191, Right,0,55,38,52,36,73,75
1099, Marco Di Vaio,81, A,179, Right,0,79,78,65,77,58,73
109910, Mark Wilson,73, D,178, Right,0,72,36,67,66,71,74
109969, Juan Pablo,73, GK,187, Right,1, , , , , , 
109973, Ochoa,62, D,191, Left,0,43,41,49,41,65,60
11, Romain Rocchi,67, M,183, Right,0,61,67,65,70,61,65
110019, Dorado,73, D,180, Left,0,59,33,55,45,72,72
110020, PelegrÃ?n,70, D,184, Left,0,53,39,50,49,73,70
110023, Generelo,67, M,183, Right,0,57,67,71,57,67,52
110026, Cani,79, M,180, Right,0,81,74,76,81,57,59
110082, Pinto,72, GK,185, Right,1, , , , , , 
110108, Luciano,62, D,184, Right,0,45,43,56,53,65,61
110117, Borja OubiÃ±a,64, M,181, Right,1,57,56,67,67,52,49
110146, Dani Mallo,62, GK,186, Right,0, , , , , , 
1102, Carlo Cudicini,76, GK,185, Right,0, , , , , , 
110272, Josemi,68, D,182, Right,0,73,49,66,57,72,64
110283, Duda,76, M,175, Left,1,68,77,84,74,61,60
110291, Manolo,68, D,173, Right,0,75,50,65,59,73,66
110297, Nacho,69, D,175, Left,0,73,55,69,68,70,60
110301, Juanma,67, M,176, Right,0,69,60,66,67,56,52
11031, Sylvain Wiltord,70, A,174, Right,0,72,68,67,70,51,67
110363, Carlos GarcÃ?a,69, D,184, Right,0,46,32,52,47,73,63
110368, Edu AlbÃ¡car,68, D,177, Left,0,74,65,68,65,67,63
110371, Moises Hurtado,72, M,185, Right,1,43,50,62,52,77,63
110375, Crusat,74, A,162, Left,1,93,62,56,77,46,53
110376, Jonathan Soriano,74, A,180, Right,1,74,72,59,70,52,74
110377, Corominas,68, A,171, Right,0,78,62,54,75,50,62
110379, Tariq,65, A,183, Right,0,41,64,40,50,54,80
110381, Maximiliano RodrÃ?guez,78, A,180, Right,0,70,76,76,80,60,63
110389, Carmelo,70, M,180, Right,0,68,59,67,77,52,54
110402, Sergio,71, D,191, Right,1,36,44,55,50,76,69
11044, Traianos Dellas,72, D,196, Right,1,33,49,59,38,77,69
110525, Dele Adebola,64, A,191, Left,1,34,65,50,62,58,75
11056, GrÃ©gory Proment,69, M,176, Right,0,53,63,72,53,68,58
11061, Paolo Orlandoni,70, GK,186, Right,0, , , , , , 
110627, Jofre,67, M,171, Left,0,71,57,60,73,43,54
110638, Alberto,64, GK,190, Right,1, , , , , , 
110652, Riera,77, A,188, Left,0,77,74,75,79,58,65
110657, GÃ?iza,74, A,180, Right,1,73,74,56,68,50,63
110677, MoyÃ¡,75, GK,185, Right,0, , , , , , 
110691, Kike Mateo,66, M,176, Right,0,63,63,60,64,62,68
110774, RubÃ©n,74, D,187, Right,0,55,38,62,44,75,73
110787, Borja,70, M,188, Right,0,51,66,73,54,74,65
110810, Gaspar,65, D,182, Right,0,49,44,54,45,69,59
110811, Mario,74, D,178, Left,1,66,46,52,48,74,81
110842, Ã“scar,71, M,176, Right,1,69,72,71,68,51,62
110852, De Lucas,73, M,175, Right,1,72,72,77,71,50,55
110854, Aganzo,72, A,177, Left,1,67,66,46,69,49,84
110879, Kevin Kyle,69, A,191, Right,0,68,67,55,61,68,71
110880, Simon Ramsden,61, D,183, Right,0,65,42,49,55,66,66
110907, Stefan Buck,64, D,189, Left,1,61,48,52,56,68,75
110920, Alexander Schnetzler,61, D,173, Left,0,68,46,58,63,57,58
110961, Aranburu,74, M,180, Left,0,55,67,65,59,75,64
11097, Christian Timm,63, M,180, Right,1,78,59,54,68,47,60
110974, Riesgo,73, GK,185, Right,1, , , , , , 
110979, Labaka,70, D,185, Right,0,53,50,55,51,73,73
110984, Mikel Alonso,65, M,180, Right,0,56,61,66,57,61,56
111008, Albelda,77, M,181, Right,0,49,64,70,63,79,62
111022, David Navarro,74, D,183, Right,1,65,49,62,53,76,75
111023, Garrido,74, D,180, Left,1,72,66,72,66,71,66
111033, Tena,66, D,185, Right,0,61,41,45,49,68,79
111038, Jandro,70, M,175, Right,0,71,68,64,68,57,62
111040, Pablo Redondo,68, M,175, Right,0,73,62,69,68,52,56
111041, Albiol,60, M,177, Right,0,68,45,60,60,62,54
111083, Dani Bautista,65, D,177, Left,0,75,51,65,60,66,66
111085, Abel,69, M,182, Right,0,61,67,74,62,61,54
111091, Arteaga,65, A,167, Left,0,76,56,61,63,47,48
111093, Reyes,85, A,176, Left,1,88,79,78,87,47,52
111114, Javi Venta,71, D,180, Right,0,66,49,68,61,72,64
111125, Oguchi Onyewu,73, D,194, Right,1,50,44,49,33,81,62
111137, MartÃ?,74, M,180, Right,1,49,67,76,67,71,63
111163, Steeve Elana,76, GK,187, Right,0, , , , , , 
111172, Alexandre Alphonse,66, A,174, Right,0,79,65,58,74,43,60
111195, Andreas Wolf,74, D,182, Right,0,56,47,59,40,75,74
111206, Sascha Riether,76, D,174, Right,0,77,58,74,69,72,74
111238, Florian Jarjat,60, D,181, Left,0,53,44,58,46,63,74
111306, Romain Larrieu,62, GK,188, Right,1, , , , , , 
111310, Graham Coughlan,56, D,188, Right,0,30,16,25,19,68,64
111320, Paul Wotton,60, M,180, Right,0,53,56,52,47,65,56
111329, Paul Connolly,66, D,183, Right,0,65,39,65,66,68,67
111331, Blair Sturrock,57, A,183, Right,0,65,53,35,39,46,65
11141, Miroslav Klose,81, A,184, Right,1,75,74,62,74,57,88
111477, Fabien Audard,75, GK,188, Right,0, , , , , , 
111503, Chaouki Ben Saada,72, A,170, Left,1,73,66,66,77,47,57
111545, Corona,65, D,182, Right,0,51,42,46,44,66,64
111590, Liam Feeney,64, M,183, Right,1,82,50,58,69,50,51
11165, Thomas Butler,60, M,170, Right,1,54,49,59,70,51,53
111661, Carlos Idriss Kameni,82, GK,186, Right,1, , , , , , 
111694, Bas Savage,51, A,191, Right,0,65,51,49,58,53,59
111710, Guilherme Afonso,58, A,187, Right,1,81,55,58,67,45,51
11215, Florian Bruns,66, M,188, Left,0,68,64,64,63,65,66
112230, Franck BÃ©ria,76, D,177, Right,0,77,55,74,66,77,75
112243, SÃ©bastien Grax,64, A,180, Right,1,68,63,54,66,48,72
112244, Jaroslav PlaÅ¡il,81, M,182, Right,1,74,76,83,80,66,61
112251, Bertrand Robert,67, M,174, Left,0,66,62,67,66,47,59
112253, JÃ©rÃ©my Toulalan,81, M,183, Right,0,64,53,79,70,79,72
112292, Frazer Richardson,64, D,178, Right,0,66,50,58,59,67,64
112293, Shane Cansdell-Sherriff,63, D,182, Left,0,60,33,61,58,65,70
112316, JÃ©rÃ©my Mathieu,76, D,190, Left,1,73,62,73,63,80,66
112352, RÃ©mi Gomis,71, M,180, Right,0,69,58,63,65,75,72
112358, CÃ©dric Bockhorni,57, D,182, Right,0,63,39,54,54,57,71
112362, FranÃ§ois Zoko,63, A,181, Right,1,74,67,56,62,56,65
112365, Renaud Cohade,71, M,180, Right,0,64,66,71,69,75,71
112384, Julien Cardy,67, M,176, Right,0,68,51,71,67,59,64
112389, Thibault Giresse,68, M,172, Left,0,73,65,67,67,48,42
112393, CÃ©dric FaurÃ©,66, A,186, Right,1,52,70,50,60,49,78
112396, Michel Renggli,63, M,180, Right,0,59,59,58,62,66,67
112496, Matabuena,65, M,185, Right,0,50,54,60,48,66,64
112542, Sergey Ignashevich,77, D,186, Right,0,64,64,66,59,77,82
112549, Juanma Ortiz,68, M,179, Right,0,71,58,63,71,67,65
112552, IvÃ¡n HernÃ¡ndez,73, D,185, Right,0,49,63,64,47,75,65
112556, Diego Rivas,72, M,180, Right,1,57,55,64,48,78,55
112560, Richi,64, M,187, Right,0,39,56,62,61,66,57
112561, Asen,63, A,181, Right,1,60,63,48,58,45,66
112593, Josetxo,67, D,185, Right,0,43,43,48,40,70,61
112594, Pablo Contreras,77, D,181, Right,0,65,45,59,48,77,75
11260, Jim Goodwin,61, M,183, Left,0,66,43,59,65,64,61
112628, David Lopez,74, A,181, Right,1,71,72,81,74,52,50
112640, Antonio LÃ?pez,74, D,175, Left,1,72,59,68,62,76,70
112647, Culebras,64, D,187, Right,0,49,43,51,46,69,64
112712, Juninho,76, M,178, Right,1,59,82,84,79,58,61
112745, Cristian FiÃ©l,68, M,182, Left,0,54,63,66,64,69,59
112778, JesÃºs VÃ¡zquez,68, M,182, Left,0,65,63,58,61,70,68
112811, Fousseni Diawara,66, D,183, Right,0,66,47,56,48,64,68
112847, Jermaine Jones,77, M,184, Right,0,77,69,70,72,79,74
112875, PeÃ±a,70, D,170, Left,0,72,49,69,63,68,64
11288, Martin Devaney,61, A,178, Right,0,69,54,60,67,42,43
112883, Clavero,62, D,175, Left,0,71,37,60,51,66,54
112920, Jaio,67, D,186, Right,0,52,36,44,39,71,63
112978, Merino,66, M,175, Right,0,67,67,64,72,41,40
11301, Jon Harley,61, D,178, Left,0,57,52,59,54,61,61
113045, Mauricio Pinilla,78, A,185, Right,0,77,73,67,74,59,81
113176, Federico Balzaretti,80, D,178, Left,0,83,60,78,78,72,71
113184, Davide Mandelli,73, D,190, Left,1,48,42,57,43,77,78
113188, Vlada Avramov,68, GK,187, Right,0, , , , , , 
113219, Michele Marcolini,71, M,173, Left,1,65,69,75,65,64,59
113220, Paolo Zanetti,66, M,186, Right,0,64,50,67,61,70,64
113278, Francesco Modesto,72, M,177, Left,1,77,59,72,68,71,64
113343, Almunia,74, GK,193, Right,1, , , , , , 
11336, Matthew Spring,61, M,183, Right,1,48,64,69,52,57,52
113384, Saizar,65, A,175, Right,0,69,63,58,61,61,64
113386, Sarriegi,69, D,185, Right,0,63,53,58,55,68,67
113399, Sastre,65, D,179, Right,0,63,50,65,55,71,53
113419, RubÃ©n SuÃ¡rez,74, M,167, Left,1,68,75,75,72,50,58
113422, David Villa,88, A,175, Right,1,85,89,73,86,57,73
113428, Alejandro,60, GK,183, Right,1, , , , , , 
113458, David BauzÃ¡,65, M,188, Left,0,42,51,59,58,66,46
11346, Emmerson Boyce,72, D,184, Right,0,54,36,53,57,74,75
11348, Steve Howard,64, A,191, Right,1,31,64,44,51,67,86
113488, Arzu,66, M,184, Right,0,38,54,60,53,71,65
113521, Moha,64, A,170, Left,0,68,58,63,65,59,56
113524, Nino,71, A,169, Right,1,74,71,58,67,52,62
113555, Emilio RenterÃ?a,66, A,175, Right,1,71,68,49,62,57,60
11358, Lee Mansell,60, M,175, Right,0,56,32,60,58,66,56
11381, Matt Gilks,71, GK,185, Right,0, , , , , , 
11386, Clive Platt,61, A,193, Right,1,51,56,32,51,56,78
113931, Ortiz,66, A,172, Right,0,65,57,66,67,55,56
113942, Sorribas,61, M,179, Right,0,50,42,55,48,65,54
114008, Nacho RodrÃ?guez,64, A,180, Left,1,69,64,55,68,44,58
114038, Javier Baraja,67, D,179, Right,0,58,61,65,59,68,68
114040, Nano,73, D,186, Left,0,53,43,56,51,75,74
114082, Robbie Russell,67, D,180, Right,1,88,51,60,58,70,63
114123, Andriy Voronin,80, A,176, Right,1,74,81,81,79,53,68
114126, Christian Wetklo,72, GK,190, Right,1, , , , , , 
11414, Andrew Dawson,68, D,175, Left,0,53,58,58,44,70,70
11415, Nathan Stanton,57, D,175, Right,0,52,26,31,41,62,68
11427, Marcel Maltritz,70, D,186, Right,0,53,47,53,43,72,72
11430, Jamie McCombe,64, D,196, Right,1,54,28,41,28,71,69
114356, Marco WÃ¶lfli,71, GK,186, Left,1, , , , , , 
114555, Luigi Pieroni,66, A,187, Right,0,70,64,45,52,51,73
114604, Juanma,63, GK,182, Left,1, , , , , , 
114663, Abraham Paz,73, D,178, Right,1,62,53,70,55,73,82
114734, IÃ±aki Bea,68, D,185, Right,0,53,41,49,43,72,71
11474, Dean Bennett,55, M,183, Right,0,32,52,57,48,59,61
114764, Iraizoz,81, GK,191, Right,1, , , , , , 
11488, Mike Edwards,60, D,183, Right,0,49,28,43,30,63,65
11489, Andy Holt,55, D,185, Left,1,41,48,46,36,64,75
11495, JÃ©rÃ©my HÃ©nin,66, D,186, Right,0,32,25,59,43,67,75
11496, Gary Alexander,63, A,180, Right,1,45,65,39,53,58,72
114960, Cristian,60, D,169, Right,1,77,45,60,63,54,59
115519, Bruno Berner,60, D,185, Left,0,49,50,59,58,66,68
115533, Diego Benaglio,78, GK,194, Right,0, , , , , , 
115577, Armando,64, D,186, Right,1,51,35,44,39,71,69
11574, Peter Murphy,63, D,183, Left,0,52,32,52,48,67,67
11576, Marchena,79, D,183, Right,0,50,54,71,63,79,71
115768, Calatayud,74, GK,191, Right,1, , , , , , 
115823, Mario Eggimann,70, D,189, Right,0,39,40,48,43,72,75
115888, Christofer Heimeroth,70, GK,194, Right,0, , , , , , 
115909, RubÃ©n Castro,75, A,174, Right,0,81,71,57,76,44,67
115926, Pedro Vega,64, M,168, Left,1,74,66,64,64,42,54
11595, Richie Foran,69, A,185, Left,0,62,67,65,69,60,67
116024, Christian BermÃºdez,73, M,160, Right,1,88,65,69,78,38,52
116197, Ricardo Fuller,75, A,191, Right,0,72,72,56,77,58,74
116227, Mathias Kouo-DoumbÃ©,64, D,185, Right,1,64,35,47,46,71,69
116308, Rod Fanni,79, D,186, Right,1,82,53,74,70,81,81
116309, Eric Chelle,69, D,179, Left,0,37,39,60,40,70,80
116314, David Martin,63, GK,188, Right,1, , , , , , 
116334, Bertrand Laquait,71, GK,185, Right,1, , , , , , 
116335, Olivier Sorin,75, GK,189, Right,0, , , , , , 
